功效,组成,适应证,按语,方源,制作,药名,编号,分类
润肺定喘，生津止渴。,鲜杏子3枚，绿茶3 g。,肺燥喘咳。,"杏味甘酸，性微温,含有多种有机成分和人体所必需的 维生素及无机盐，是一种营养价值较高的水果。其中杏仁的营养丰 富，含蛋白质23%~27%,粗脂肪50%~60%,糖类10%,还含有磷、 铁、钾、钙等无机盐及多种维生素，是滋补佳品。而杏子有良好的医疗 效用，在中草药中居重要地位，生津止渴、润肺化痰、清热解毒,主治肺 病。注意:杏勿多食,多食易伤筋骨、动宿痰、生痰热，孕妇禁用。",经验方。,用杏子的煎煮液泡茶饮用，可加冰糖。,杏子茶,290,内科-哮喘
养阴清热。,"芦根5 g,麦门冬3 g,绿茶3 g。","霍乱吐泻，口烦渴,小便黄，膀胱癌,咽喉不利等。",芦根味甘，性寒，能清热、生津、除烦、止呕、利尿。麦门 冬味甘、微苦，性微寒，润肺养阴、益胃生津、清心除烦。两药合用，养 阴清热。注意:脾胃虚弱者忌服。,《千金方》。,用250 ml开水冲泡后饮用。可加冰糖。,芦麦茶,291,内科-肺结核
清热泻火，凉血止血。,霜桑叶不拘量，绿茶适量。,适用于肺热咳嗽，痰中带血，或支气管扩张咯血，肺 结核咯血，鼻衄，齿衄等。,"桑叶入药治病始于东汉,《神农本草经》里将其列为“中品”。霜桑叶，农历节气霜降前后采摘,它味甘、苦，性寒，无毒，入肝、 肺经，现代中医习惯将它列入辛凉解表类药物中，取其疏风清热、凉 血止血之用。明末清初的名医傅青主，很擅长用桑叶止汗止血,还创 制了不少以桑叶为主药的方剂，如止汗神丹、遏汗丸等。绿茶最大的 特性是较多地保留了鲜叶内的天然物质，如茶多酚、咖啡因、叶绿素、 维生素等，从而形成了绿茶“清汤绿叶,滋味鲜爽”的特点。此茶每日 饮用1~2次，可清热泻火，凉血止血。",《圣济总录》。,"将桑叶焙干研末，瓷罐封贮备用。每取上末9 g,以绿 茶3 g,煎汤或沸水冲泡，候冷送服。",桑叶止血茶,292,内科-肺结核
清肺祛痰，养阴润燥。,"天门冬5 g,川贝母3 g,茯苓3 g,阿胶3 g,杏仁3 g,绿 茶3 g。","肺热咳嗽咯血,吐血,肺结核,肺癌等。","天门冬味甘、苦,性大寒，能清肺降火、养阴润燥，用于 肺燥干咳，顿咳痰黏，咽干口渴，肠燥便秘。川贝母味苦、甘，性微寒, 清热润肺、化痰止咳,主治肺热燥咳，干咳少痰，阴虚劳嗽。注意，贝 母反乌头，不宜与其同用。茯苓味甘、淡，性平，利水渗湿、健脾补中、 宁心安神。阿胶味甘，性平，为补血、止血之要药，但本品黏腻有碍消 化，脾胃虚弱，呕吐泄泻，胃肠积滞者不宜用。杏仁味苦,性微温，降 气止咳平喘、润肠通便,主治咳嗽气喘，胸满痰多，血虚津枯,肠燥便 秘。杏仁肺虚咳喘者忌用。诸药合用,共奏养阴润燥、清肺祛痰之 功,用于各种咳嗽、咯血，凡属肺阴虚者。注意:外感咳嗽、脾胃虚寒、 食少便溏者忌服此茶。",《本事方》。,用前五味药的煎煮液400 ml泡绿茶饮用。,天贝茶,293,内科-肺结核
养阴清热。,"麦门冬5 g,生地3 g,绿茶3g。","热病烦渴，鼻衄,咽喉不利,干咳气逆等。","麦门冬味甘、微苦，性微寒，润肺养阴、益胃生津、清心 除烦。生地味甘、苦，性寒，能清热凉血止血、养阴生津止渴。两药合 用,养阴清热作用甚好。注意:感冒风寒或有痰饮湿浊的咳嗽，以及 脾胃虚寒泄泻者均忌服。",《济生方》。,用250 ml开水冲泡或用前两味药的煎煮液泡茶饮用。 可加冰糖。,麦地茶,294,内科-肺结核
"养阴退热,益气血，止咳嗽。",枸骨嫩叶15~30 g。,"肺痨咳嗽,劳伤失血等。","枸骨叶为冬青科植物枸骨的叶,其入药始见于《本草拾 遗》。枸骨叶味微苦性凉，养阴清热、补益肝肾，可治疗肺痨咯血，肝 肾阴虚，头晕耳鸣,腰膝酸痛等。该茶每日1剂，不拘时频饮之。习 惯性流产妇女忌服，经常失眠者慎服。",《本草从新》。,"上药以开水浸泡10?30分钟,代茶。",枸骨茶,295,内科-肺结核
补益脾肺，止嗽定喘。,"生山药45 g,牛茅子（炒捣）12 g,柿霜饼18g。",肺脾气阴不足而引起的虚热、肺痨咳嗽、喘逆、纳 呆等。,"山药，味甘，性平，益气养阴、补脾肺肾。既能补脾气、 益脾阴，又能补肺气、益肺阴。牛蒡子（别名大力子）能清热利咽，且能 抑制金黄色葡萄球菌生长。柿霜饼，味甘，性凉，清热润肺、化痰止咳。 《本草纲目》称“柿乃脾肺血分之果也,其味甘而气平，性涩而能收，故 有健脾涩肠、治嗽止血之功”。又云:“柿霜，乃柿精液,入肺病上焦药 尤佳。”三药相合，共奏补脾润肺、清热止咳化痰之功。对肺脾气阴两 虚之痨咳，治疗尤宜。风寒咳嗽者，咳嗽痰多、色白、黏滞者慎用。",《医学衷中参西录》。,先将山药、牛蒡子煮汤，去渣，再入柿霜饼泡溶即可。 不拘时饮食之。,沃雪茶,296,内科-肺结核
"养阴清肺，祛痰止咳;强心,抗真菌，降血压。","沙参10 g,绿茶3 g。",肺热燥咳，虚劳久咳，阴虚咽干喉痛。,"沙参性微寒，味甘、微苦，清肺养阴、益胃生津,用于肺 热阴虚引起的燥咳或劳嗽咯血。燥咳以本品与麦冬、玉竹、冬桑叶等 同用，如沙参麦门冬汤。劳嗽咯血与知母、贝母、麦冬、鳖甲等同用。 用于热病伤津、舌干口渴、食欲不振，如益胃汤，即以本品配伍麦冬、生 地、玉竹等。注意:本茶虚寒证忌服，另外沙参反藜芦，不可与其同用。",经验方。,用300 ml开水冲泡后饮用。可加冰糖。,沙参茶,297,内科-肺结核
清肺润燥。,"沙参5 g,麦冬3 g,玉竹3 g,冬桑叶2 g,甘草3 g,绿茶3g。",燥伤肺卫阴亏所致发热咳嗽、口干渴等。,沙参能清肺养阴、益胃生津。麦门冬味甘、微苦，性微 寒，润肺养阴、益胃生津、清心除烦。玉竹性微寒，味甘，养阴润燥、生 津止渴。冬桑叶味甘、苦，性寒，能疏散风热、清肺润燥、清肝明目，主 治风热感冒、肺热燥咳、头昏头痛、目赤昏花。诸药合用，清肺润燥功 效加强。外感发热咳嗽不宜饮用此茶。,经验方。,"用前四味药的煎煮液400 ml,泡甘草、绿茶饮用，冲饮 至味淡。",沙麦茶,298,内科-肺结核
"补虚损，养五脏,益胃肠，生津止渴。","绿茶1~2 g,大蒜头15~25 g,冰糖25 g,牛乳200ml。",贫血、肺结核等属虚证者。,贫血、心悸者可加炙甘草5~10 g。每日1剂。,经验方。,将茶、大蒜、糖混合捣烂，用沸牛乳冲服。,茶叶甜乳汤,299,内科-肺结核
